doc_id,task,domain,active_row_references,inventory_present,manifest_present,local_path,local_path_exists,source_url,public_status,inventory_public_status,manifest_public_status,rights_status_disagreement,source_candidate_id,recorded_sha256,computed_sha256,sha256_matches,blocker,release_ready,paper_ready
adafruit_esp32_feather_v2_pinout,microtext,pcb_schematic,105,True,True,microtext/docs/adafruit_esp32_feather_v2/adafruit_esp32_feather_v2_pinout.pdf,True,https://github.com/adafruit/Adafruit-ESP32-Feather-V2-PCB,cc_by_sa_3_0_open_hardware_candidate,cc_by_sa_3_0_open_hardware_candidate,cc_by_sa_3_0_open_hardware,False,pcb_019,52ae2016358ff5cc507d4a5eb567f686f539d6493590a9ecce11da062d848d5e,52ae2016358ff5cc507d4a5eb567f686f539d6493590a9ecce11da062d848d5e,True,,True,True
adafruit_esp32_s2_tft_feather_pinout,microtext,pcb_schematic,2,True,True,visualdiff/docs/adafruit_esp32_s2_tft_feather/adafruit_esp32_s2_tft_feather_pinout.pdf,True,https://github.com/adafruit/Adafruit-ESP32-S2-TFT-Feather-PCB,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,False,pcb_074,0ce335aa12351d27ff554f02db04f0f95a48d8c9e28f78c10d90989393920525,0ce335aa12351d27ff554f02db04f0f95a48d8c9e28f78c10d90989393920525,True,,True,True
adafruit_esp32_s2_tft_feather_sch,visualdiff,pcb_schematic,2,True,True,visualdiff/docs/adafruit_esp32_s2_tft_feather/adafruit_esp32_s2_tft_feather_sch.sch,True,https://github.com/adafruit/Adafruit-ESP32-S2-TFT-Feather-PCB,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,False,pcb_074,74ab49c11f28bbfdb9d01ce57a9ee588f9c52098d3fb2895af9971480e40acde,74ab49c11f28bbfdb9d01ce57a9ee588f9c52098d3fb2895af9971480e40acde,True,,True,True
adafruit_esp32_s3_tft_feather_pinout,microtext,pcb_schematic,4,True,True,visualdiff/docs/adafruit_esp32_s3_tft_feather/adafruit_esp32_s3_tft_feather_pinout.pdf,True,https://github.com/adafruit/Adafruit-ESP32-S3-TFT-Feather-PCB,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,False,pcb_075,361a3243b49dea6ada5756bed0d2dc6959ea19bf4456d1c2fd5951ab50f3c26c,361a3243b49dea6ada5756bed0d2dc6959ea19bf4456d1c2fd5951ab50f3c26c,True,,True,True
adafruit_esp32_s3_tft_feather_sch,visualdiff,pcb_schematic,1,True,True,visualdiff/docs/adafruit_esp32_s3_tft_feather/adafruit_esp32_s3_tft_feather_sch.sch,True,https://github.com/adafruit/Adafruit-ESP32-S3-TFT-Feather-PCB,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,False,pcb_075,f182d94dc49cbd0a51121fa04bb24cf62d447a47a841042b420bcac17b3fab62,f182d94dc49cbd0a51121fa04bb24cf62d447a47a841042b420bcac17b3fab62,True,,True,True
adafruit_feather_32u4_adalogger_pinout,microtext,pcb_schematic,2,True,True,visualdiff/docs/adafruit_feather_32u4_adalogger/adafruit_feather_32u4_adalogger_pinout.pdf,True,https://github.com/adafruit/Adafruit-Feather-32u4-Adalogger-PCB,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,False,pcb_052,814d81dad6f3a69737d71540301134098cc6f4015cb934ea45304e399595143e,814d81dad6f3a69737d71540301134098cc6f4015cb934ea45304e399595143e,True,,True,True
adafruit_feather_32u4_adalogger_sch,visualdiff,pcb_schematic,3,True,True,visualdiff/docs/adafruit_feather_32u4_adalogger/adafruit_feather_32u4_adalogger_sch.sch,True,https://github.com/adafruit/Adafruit-Feather-32u4-Adalogger-PCB,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,False,pcb_052,673ca5582f77746f75eb2954783d07100a959334ec545b28e21d7d341a25a644,673ca5582f77746f75eb2954783d07100a959334ec545b28e21d7d341a25a644,True,,True,True
adafruit_feather_32u4_basic_proto_pinout,microtext,pcb_schematic,2,True,True,visualdiff/docs/adafruit_feather_32u4_basic_proto/adafruit_feather_32u4_basic_proto_pinout.pdf,True,https://github.com/adafruit/Adafruit-Feather-32u4-Basic-Proto-PCB,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,False,pcb_053,947c55b9ee6ec222f8b0e75cef114b7432fc89a2b9e1f6ba104481c205d02e58,947c55b9ee6ec222f8b0e75cef114b7432fc89a2b9e1f6ba104481c205d02e58,True,,True,True
adafruit_feather_32u4_basic_proto_sch,visualdiff,pcb_schematic,3,True,True,visualdiff/docs/adafruit_feather_32u4_basic_proto/adafruit_feather_32u4_basic_proto_sch.sch,True,https://github.com/adafruit/Adafruit-Feather-32u4-Basic-Proto-PCB,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,False,pcb_053,b0f602c45022798e6b5d2eab554ae40fe9290cf162ac9089e21ac9742a2789a1,b0f602c45022798e6b5d2eab554ae40fe9290cf162ac9089e21ac9742a2789a1,True,,True,True
adafruit_feather_esp32_s2_original_sch,visualdiff,pcb_schematic,10,True,True,visualdiff/docs/adafruit_feather_esp32_s2/adafruit_feather_esp32_s2_original_sch.sch,True,https://github.com/adafruit/Adafruit-Feather-ESP32-S2-PCB,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,cc_by_sa_open_hardware_candidate,False,pcb_033,0269094826d469fc252c8ac691cea83a0f53b8d65167848fc9c57906752d652a,0269094826d469fc252c8ac691cea83a0f53b8d65167848fc9c57906752d652a,True,,True,True
